Bat species,Number of samples,Bat family,Continent,Country,Reference
Nycteris thebaica,27,Nycteridae,Africa,"Cameroon, Egypt, Sierra Leone","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Nycteris tragata,2,Nycteridae,Asia,Malaysia,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Ametrida centurio,3,Phyllostomidae,America,Brazil,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Anoura caudifer,112,Phyllostomidae,America,"Bolivia, Brazil, Peru","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Anoura cultrata,4,Phyllostomidae,America,Bolivia,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Anoura geoffroyi,5,Phyllostomidae,America,Bolivia,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Artibeus concolor,4,Phyllostomidae,America,Brazil,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Artibeus fimbriatus,1,Phyllostomidae,America,Brazil,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Artibeus jamaicensis,291,Phyllostomidae,America,"Bolivia, Mexico","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Artibeus lituratus,486,Phyllostomidae,America,"Bolivia, Brazil, Mexico, Peru","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Artibeus obscurus,73,Phyllostomidae,America,"Bolivia, Brazil, Peru","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Artibeus planirostris,217,Phyllostomidae,America,"Bolivia, Brazil, Peru","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Carollia benkeithi,12,Phyllostomidae,America,"Bolivia, Brazil","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Carollia brevicauda,98,Phyllostomidae,America,"Bolivia, Brazil, Peru","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
